n_prime,n_minus_1,meff_mean,meff_sd,meff_over_ceiling
20,19,18.98101526591458,0.08490231189957016,0.9990008034691883
30,29,28.92485818440859,0.20843274052816263,0.997408902910641
40,39,38.883229342839854,0.2853916570017318,0.9970058805856373
60,59,58.584214644944474,0.4883229704581286,0.9929527905922793
80,79,77.95890278025044,0.5089697065913925,0.9868215541803853
95,94,92.42574577011885,0.0,0.9832526145757324
