PC,variance_explained,cumulative
PC1,0.09427116281292224,0.09427116281292224
PC2,0.049162668031993276,0.1434338308449155
PC3,0.04125965973691958,0.1846934905818351
PC4,0.03266687704967256,0.21736036763150765
PC5,0.02866154898612203,0.24602191661762968
PC6,0.027663654665756564,0.2736855712833862
PC7,0.024160634083238316,0.29784620536662454
PC8,0.02356575476005171,0.3214119601266763
PC9,0.02224558892461239,0.34365754905128865
PC10,0.02159322493187467,0.3652507739831633
