bin,mean,std,count,mid_bp,se
0,0.342251419991412,0.3556240782484646,2014,62500.0,0.007924309418286106
1,0.09518472103838613,0.1527717547559136,1463,187500.0,0.0039941181165793396
2,0.06698154325043268,0.11501725993352344,1084,312500.0,0.0034934004837238993
3,0.05239382063787622,0.08178448385502557,935,437500.0,0.0026746386230852566
4,0.05351134664910557,0.08071823551055746,921,562500.0,0.002659756289999311
5,0.045235236443058074,0.0746007333211662,991,687500.0,0.0023697703934164966
6,0.04851167852004588,0.08149075401871018,995,812500.0,0.0025834305793517227
7,0.051065348118745864,0.08121813865652658,934,937500.0,0.002657538678447022
8,0.0634317638733135,0.09911759311187159,789,1062500.0,0.003528679755459724
9,0.05070465566400276,0.08766281319061159,812,1187500.0,0.003076361650640591
10,0.04409987060265377,0.059171372535010064,741,1312500.0,0.0021737146845730235
11,0.04359897318057725,0.0696751935921127,839,1437500.0,0.0024054548166549034
12,0.03802582108003585,0.07684035411367778,871,1562500.0,0.002603636073654697
13,0.038020061461600606,0.07099102502098949,869,1687500.0,0.0024082055817020273
14,0.03638155450864263,0.060082241321770195,847,1812500.0,0.0020644502434905535
15,0.0333510038254319,0.05513070514080261,841,1937500.0,0.0019010587979587106
16,0.042908701735056516,0.07268641751550306,895,2062500.0,0.0024296389807546034
17,0.038130966600922335,0.060319797857086396,794,2187500.0,0.0021406695242352633
18,0.037836133365637306,0.057336378236400413,854,2312500.0,0.0019620104721481918
19,0.03497917369653581,0.05807699310536602,746,2437500.0,0.0021263497930901934
20,0.03161041943974645,0.04608600339529941,821,2562500.0,0.0016084126085391184
21,0.03237742525615019,0.05922817446834662,788,2687500.0,0.0021099163535194627
22,0.030172750728532566,0.04602959714026196,687,2812500.0,0.0017561386668808751
23,0.03477885834673034,0.06195721545750132,749,2937500.0,0.002263867382090784
24,0.03403365756006538,0.05160044467836252,706,3062500.0,0.001942008353787997
25,0.03395842538076935,0.06061942327704854,690,3187500.0,0.002307742004029541
26,0.028859850062674934,0.04442402461613823,663,3312500.0,0.0017252861537614182
27,0.025144247062121164,0.037910809430298176,632,3437500.0,0.0015080110295635836
28,0.030531379653814358,0.048365892940474116,660,3562500.0,0.0018826398293794178
29,0.02626009179617822,0.04778266672961343,704,3687500.0,0.0018008770116446145
30,0.028179848438445097,0.04137022621284329,705,3812500.0,0.0015580928590130804
31,0.03425333542116319,0.06932452766331568,646,3937500.0,0.0027275370601443755
32,0.03302383595967351,0.053363048038175674,636,4062500.0,0.002115982493271436
33,0.034826299393011545,0.05644968459513887,770,4187500.0,0.0020343054243643598
34,0.025556988184474473,0.036291787373320755,642,4312500.0,0.0014323225973835582
35,0.029156557837528182,0.04764651109815,624,4437500.0,0.0019073869643500883
36,0.02785198057464278,0.04665695543821504,592,4562500.0,0.0019175890561984339
37,0.028964124332626524,0.04461946572896418,524,4687500.0,0.0019492104106722079
38,0.022735800395164835,0.03531185532859706,505,4812500.0,0.0015713569381980992
39,0.023541618534084676,0.03319748293140672,528,4937500.0,0.0014447350030821428
