metric,n,mean_G,sd_G,min_G,max_G,p05_G,p95_G
all_pairs,4465,-0.010719463924328194,0.12142907734686688,-0.30292679515958615,1.6094920083442683,-0.1674927549717425,0.152172286164337
within_cluster,3541,0.009357422724524054,0.11900918876290573,-0.25525005298472025,1.6094920083442683,-0.1146712561527481,0.17637817777117362
between_cluster,924,-0.08765913451262451,0.09757051544516417,-0.30292679515958615,0.271005066154852,-0.23377796385893734,0.09625861201413168
