h2,n_for_r_0.3,n_for_r_0.5,n_for_r_0.7
0.05,1756.2961231306128,5919.36841499577,17061.70896087016
0.1,878.1480615653064,2959.684207497885,8530.85448043508
0.2,439.0740307826532,1479.8421037489425,4265.42724021754
0.5,175.6296123130613,591.9368414995771,1706.170896087016
0.8,109.7685076956633,369.9605259372356,1066.356810054385
