"pair","entanglement","baker_gamma","RF","RF_max","RF_norm"
"IQ-TREE vs RAxML",0.238974092724908,0.524579469532098,124,184,0.673913043478261
"IQ-TREE vs UPGMA",0.15229463794357,0.41806007076838,162,184,0.880434782608696
"RAxML vs UPGMA",0.216329202955681,0.458942040153802,156,184,0.847826086956522
