parent_A,parent_B,r_ij_normalized,G_ij_raw,cluster_A,cluster_B,Tannin_midparent,Tannin_absgap,Phenol_midparent,Phenol_absgap,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs155,TSs317,-0.23678059262454046,-0.2793986116190173,1,2,770.1101032514712,183.52050503990347,146.05153931611363,6.122565825024537,193.11136741388844,28.246723374892696,281.0319590463541,66.13732774195435,8.250936537118081,0.9743147690074885,6.316492409096565,0.8394156636368395,6.09339459175181,0.36997678661489086,0.2535142537142348,0.08260763255771808,963.5493722429475,201.79982339290495,39.86228787871154,3.635773521258784,,,,,,
TSs151B,TSs98,-0.22176069587559172,-0.2673993142274134,1,2,,,,,,,,,8.50503244406131,1.208217623743307,6.538842759423366,1.0634896600902044,6.39945090379136,1.1971331264838794,0.28429225874783626,0.13705760971672992,1099.1353551971752,75.26423643044996,,,,,,,,
TSs363,TSs51,-0.21989566983694375,-0.2338936305398882,1,2,522.380982988863,0.8062812377406772,191.84092958908275,93.18454082461767,100.95889172379609,43.611249581669284,276.47542811659537,4.228155239052342,8.528591004969956,0.040386104414817936,6.744387560016165,0.21287029663069745,6.501046360070048,0.41823462834726755,0.29663899092581775,0.02886825868952514,699.4493671826724,19.261375568141034,33.081589268375396,0.026915583693487122,,,,,,
TSs151B,TSs317,-0.21706881424160843,-0.262081859187379,1,2,,,,,,,,,8.319508776905742,0.8371702894321675,6.371649085146624,0.729102311536721,6.039633662804338,0.47749864450983637,0.2552907619412826,0.07905461610362252,1100.6083786759,72.31818947300007,,,,,,,,
TSs22B,TSs371,-0.21672093493643454,-0.2007836412537989,2,2,711.3410999437497,83.96189798772173,144.49319619286342,8.849616847856083,145.4092692474384,37.45966237369787,304.4262903493703,71.96852578117318,8.636707971997126,0.5140814541136223,6.842635389230333,0.34214375612302383,6.71989990547039,0.7882114149621593,0.31609175601198997,0.08713772853668955,906.4982531062656,323.02654155314906,35.481302757068704,2.668996610921205,,,,,,
TSs156A,TSs98,-0.21448767846279235,-0.2516650444637434,1,2,826.4381333826337,308.4251556259983,178.49049696092555,97.2498330631021,129.12085728278112,83.14088217982967,253.26907092923818,245.51186346529767,8.458756699419332,1.3007691130272656,7.06326209343057,0.014650992075796232,6.931133791649829,0.1337673507669388,0.320932740930695,0.06377664535101246,1009.0768196981046,104.85283456769105,30.96960422139548,4.9607148451169,,,,,,
TSs156A,TSs51,-0.21250873677221793,-0.2216431087559831,1,2,597.1016989698137,150.2477131996419,232.7743067469341,11.317786508914963,105.1574663537485,35.21410032176446,204.55132246635543,148.07636653953216,8.158385047834123,0.7000258098568475,6.846944504546744,0.41798418569185536,6.578089581081388,0.572321070369946,0.285624639918122,0.006839556674133607,832.865228690501,247.57034744751604,30.77868913768284,4.578884677691629,,,,,,
TSs325,TSs282,-0.21159463478555185,-0.2442361163715466,2,2,479.73818679303713,359.6689945993594,114.81401572175989,61.108305087909,94.4914110558336,6.347295174009659,271.72962633258646,124.32396620970263,8.62450800295515,0.14135136545186278,6.721980160370828,0.39040584766682596,6.359560015820202,0.030279968359596232,0.29068768836520786,0.04752159507352588,519.964661107363,397.466824819742,40.68784542813638,4.307552963006714,,,,,,
TSs49,TSs138B,-0.21037295525458374,-0.2321095559627235,2,1,630.1248003464389,453.49444835629527,205.7871280759838,60.80732567575416,134.20583774465535,44.97801595796588,346.0445666222183,94.6332160754992,8.377563802002042,0.6941361696296866,6.380698227311086,0.21114665050413262,6.227754582680376,0.5228779483143171,0.2599096833316066,0.011192001830400533,813.6333228180099,180.82869945488198,36.58968272192993,0.7387870961111602,,,,,,
TSs155,TSs3A,-0.20900760762662404,-0.2414629139606481,1,2,842.6397671235068,38.461177295832044,128.37884940036264,29.222814006477478,127.61825392663262,102.73950359961893,231.57251443554065,32.78156147967243,8.26439857192302,1.0012388386173665,6.174291603655005,0.5550140527537213,5.946504494548874,0.07619659220901642,0.2452090777527868,0.06599728063482208,809.6030654464745,106.09279020004101,37.311213679339744,1.4663748774848102,,,,,,
TSs224,TSs60,-0.20748452545040666,-0.1617959943481784,2,2,388.35452717989835,20.746415881758367,293.4232101726497,331.16025504697006,149.76695029258696,12.326989397228175,325.4555809998367,114.55253599033557,8.539528908248968,0.03028957831111434,6.751282144522422,0.4007477244262114,6.167474611955021,0.7247142547879779,0.2702134310484832,0.10126096894171879,807.9559857201054,228.65909311059306,37.13542716624441,2.017300421424572,,,,,,
TSs325,TSs68,-0.2069967507270399,-0.1781768010200453,2,2,323.3253306174572,46.8432822481995,144.31098130046604,120.10223624532131,102.3930454178072,9.45597354993754,216.91077865524727,14.686270855024219,8.629556266007,0.13125483934815918,6.876246488698337,0.08187319101180801,6.5759730090755815,0.4631059548703558,0.3152923273098185,0.0016876828156953683,363.942840743241,85.423184091498,38.73749553640979,8.208252746459891,,,,,,
TSs151B,TSs56,-0.20646066358033371,-0.2752544584403438,1,2,,,,,,,,,8.624087314367493,1.4463273643556729,6.4018128923615,0.7894299259664734,6.159854952734119,0.7179412243693992,0.2764756225488264,0.12142433731871016,1029.7288280810656,214.07729066266904,,,,,,,,
TSs151B,TSs96,-0.20613267216475398,-0.2429380952441604,1,2,,,,,,,,,8.422577480881058,1.0433076973828008,6.3569980930708265,0.6998003273851268,6.063762583670526,0.525756486242213,0.2518709836042158,0.07221505942948886,971.276351376858,330.982244071084,,,,,,,,
TSs151B,TSs333,-0.20559117001091423,-0.211952536214159,1,2,,,,,,,,,8.180681542979805,0.5595158215802929,6.427667584259964,0.8411393097634035,6.06122269726356,0.520676713428279,0.2529368885404444,0.07434686930194612,819.4091238439215,634.716699136957,,,,,,,,
TSs363,TSs317,-0.20389459389618017,-0.2442948704716336,1,2,600.5669871696264,155.56572712378602,147.1807407026999,3.864163051851989,143.19399801714812,128.08146216837332,294.2309867072002,39.73927242026207,8.643438989399595,0.18930986444446063,6.793511474623249,0.11462246741652926,6.4942733296514685,0.4317806891844258,0.30294559513183705,0.01625505027748647,877.133981669001,374.630604540798,37.38761084978154,8.58512757911879,,,,,,
TSs357,TSs317,-0.20364756715548807,-0.1828727629665527,1,2,531.7969070314855,293.1058874000677,137.28365648270074,23.65833149185036,177.63191217298925,59.205633856691065,316.1562271356299,4.1112084365972805,8.898376273518135,0.32056470379261803,6.98828348692502,0.5041664920200724,6.352463005262466,0.14816004040642117,0.3228868999804475,0.05613765997470738,1000.2727202805545,128.3531273176909,39.47333199414396,4.41368529039395,,,,,,
TSs9,TSs161,-0.2017940798507505,-0.1581365191563473,2,2,664.6315520361086,613.7993284853164,284.72550355461317,340.5193933623253,109.07434458181021,40.67662472343552,287.2535795351957,70.58174834001431,8.706542277547747,0.24484075801483662,6.523760855815928,0.3007762490854793,6.087468190135555,0.10582860029030083,0.27638679713747394,0.028690607866820317,738.4425899119805,385.40026259219303,36.41951712743479,3.806479430311448,,,,,,
TSs151B,TSs51,-0.19925257014505068,-0.2135681766004313,1,2,,,,,,,,,8.204660792476101,0.607474320572889,6.3225251705395396,0.6308544823225528,6.046406693222917,0.4910447053469946,0.24898415773526325,0.06644140769158385,922.9237641895716,427.68741844565704,,,,,,,,
TSs151B,TSs24,-0.19914353033371388,-0.3027557115967696,1,2,,,,,,,,,8.263977883335366,0.7261085022914173,6.408707476867757,0.8032190949789877,6.150118721507411,0.6984687619159837,0.25875495298402557,0.08598299818910848,934.7984564387971,403.938033947206,,,,,,,,
TSs151B,TSs82,-0.199126801741602,-0.2130936780613447,1,2,,,,,,,,,8.452446370604518,1.1030454768297204,6.353119889286057,0.6920439198155872,6.0891614477401985,0.5765542143815576,0.26697130353412113,0.10241569928929967,924.9952776191101,423.54439158658,,,,,,,,
TSs151B,TSs3,-0.19906653518501558,-0.233122519333549,1,2,,,,,,,,,8.028392274248926,0.25493728411853844,6.25142476781876,0.48865367688099326,5.940578092932617,0.27938750476639385,0.2339726632167102,0.03641841865447776,952.3531207136004,368.82870539759904,,,,,,,,
TSs363,TSs132,-0.1985423905524639,-0.2262473863624945,1,2,550.4560885741816,55.34392993289657,177.7399516220081,64.98258489046842,91.20579177334852,24.105049680774144,148.49847750716276,251.72574597981279,8.431832629809453,0.23390285473582217,6.890897480774134,0.08014954488524229,6.725402992685485,0.030478636883606747,0.31173931085572315,0.0013323811702857236,611.4172899133215,156.8027789705609,33.70612675940478,1.222159398365278,,,,,,
TSs325,TSs60,-0.1982215755091574,-0.1682254217918646,2,2,349.3157123070675,98.8240456274201,271.6316004369701,374.7434745183293,126.79775181701974,58.265386348362625,296.14974611136984,173.16420576726927,8.624928691542802,0.1405099882765537,6.734045683256779,0.36627480189492534,6.074768758100718,0.5393025470793713,0.2670157162397973,0.09486553932434702,621.7583904864471,601.05428357791,40.492849643298214,4.6975445326830325,1158.4010155833348,166.92155307903,444.50876581216505,362.85819653101004,713.892249771171,529.779749610032
TSs209,TSs282,-0.19785515167435475,-0.2552500529847202,2,2,405.456939933943,508.2314883175477,137.15989681513406,16.416542901160682,62.861001496183825,56.913523945289896,246.0702573369091,175.64270420105743,8.271970966500799,0.5637227074568365,6.515573536714747,0.022407399645336668,6.238068782686937,0.2732624346261261,0.25582371440939683,0.022206352838096244,479.4180326521355,478.560081730197,36.82696945452463,3.4141989842167746,,,,,,
TSs2,TSs61,-0.19784424408016055,-0.1781641645359165,2,2,670.0658192887761,116.1093810600488,165.9100767620173,82.26158181291785,92.06272220868439,30.158960634374125,388.91255954917733,2.4036111843685717,8.454129124955134,0.38450936911608125,6.789633270838479,0.2482050422252664,6.400297532593682,0.24552235267349687,0.2884670530813983,0.025670543880839225,845.4844777682795,78.04668022150895,35.80547815522966,5.705107770550526,939.2700360531505,113.95092481947904,404.9893914368745,154.09659744534702,534.2806446162756,40.145672625869
