metric,full_panel,core_20
mean_pairwise_distance,0.280653753624382,0.3415959968608185
median_pairwise_distance,0.2748259969340569,0.34203031420301594
min_pairwise_distance,0.0293703200526242,0.2798584467122145
max_pairwise_distance,0.3929829055021715,0.3929829055021715
n_pairs,4465.0,190.0
