metric,full_panel,core_unstrat_20,core_strat_20
mean_pairwise_distance,0.280653753624382,0.3415959968608185,0.3427994863667404
median_pairwise_distance,0.2748259969340569,0.34203031420301594,0.34533878632247506
min_pairwise_distance,0.0293703200526242,0.2798584467122145,0.2711659221737498
max_pairwise_distance,0.3929829055021715,0.3929829055021715,0.3929829055021715
n_cluster1,11.0,3.0,4.0
n_cluster2,84.0,17.0,16.0
n_pairs,4465.0,190.0,190.0
