stat,value_95line,value_dedup,delta,pct_change
silhouette_k2,0.6116444138562731,0.5840492564863935,-0.027595157369879608,-4.5116340057614
cluster1_size,84.0,84.0,0.0,0.0
cluster2_size,11.0,9.0,-2.0,-18.181818181818183
mean_MAF,0.22923049506443266,0.23003054846162047,0.0008000533971878054,0.3490170000998011
median_MAF,0.20526315789473684,0.20430107526881722,-0.0009620826259196247,-0.46870692031981714
m_eff,65.0,65.0,0.0,0.0
F_ST_between_clusters,0.1498618659746019,0.11785799014397147,-0.03200387583063044,-21.35558343845415
